Country,1936,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Belgium,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
China,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Finland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,1,1,1,0,1,0,0,0,1,0,0,2,0,1,1,1,0,0,1
Germany,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Italy ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Japan,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Norway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0
Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,1,1
United States,1,0,0,0,1,2,1,1,2,1,1,1,0,1,0,0,0,0,0,1
USSR,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
